activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2023,7H6GLXDRUGQFU57RNE97,14500,CO,08013,08013012801,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,6,0,2,1,1,1,2,2,2,725000.0,NA,6.25,NA,2,25.0,NA,0.0,,,360,NA,84,2,2,2,2,1025000,1,1,3,5,1,NA,360,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,35-44,No,No,3,3,6,,,,,10,,,,8718,23.37,144100,129.41,2312,2607,17
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08031,08031008388,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,6,1,2,1,1,1,2,2,2,415000.0,NA,5.875,NA,2,10686.1,NA,8627.1,7332.1,,360,NA,NA,2,2,2,2,465000,1,1,3,5,1,NA,141,NA,9,9,2,,,,,2,,,,,2,2,3,,,,,3,,,,,2,2,1,1,2,2,25-34,65-74,No,Yes,3,3,6,,,,,10,,,,14773,78.29,125500,74.05,2097,2461,15
2023,7H6GLXDRUGQFU57RNE97,99999,CO,08107,08107000701,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,6,5,2,1,1,1,2,2,2,1225000.0,NA,7.125,NA,3,22036.0,NA,19595.0,18300.0,106.0,360,NA,NA,2,2,2,2,1525000,1,2,3,5,1,NA,1259,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,3,3,6,,,,,10,,,,2169,13.42,90900,133.13,726,1008,25
2023,7H6GLXDRUGQFU57RNE97,22660,CO,08069,08069002602,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,6,0,2,1,1,1,2,2,2,1135000.0,NA,7.0,NA,2,6438.0,NA,4145.0,2850.0,128.0,360,NA,NA,2,2,2,2,1425000,1,1,3,5,1,NA,447,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,45-54,No,No,3,3,6,,,,,10,,,,7054,15.95,118700,126.36,1675,1915,24
2023,7H6GLXDRUGQFU57RNE97,14500,CO,08013,08013013201,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,6,0,2,1,1,1,2,2,2,1545000.0,NA,6.125,NA,2,42701.0,NA,39995.0,38500.0,,360,NA,NA,2,2,2,2,1925000,1,1,3,5,1,NA,713,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,3,3,6,,,,,10,,,,2428,29.28,144100,94.03,620,678,40
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08005,08005085900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,6,3,2,1,1,1,2,2,2,585000.0,NA,5.5,NA,2,1842.33,NA,1300.0,,62.95,360,NA,84,2,2,2,2,655000,1,1,3,5,1,NA,153,NA,9,9,2,,,,,2,,,,,2,2,2,27,,,,2,27,,,,2,2,2,1,2,2,25-34,35-44,No,No,3,3,6,,,,,10,,,,9218,49.86,125500,113.81,1782,2139,9
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08005,08005085900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,6,1,2,1,1,1,2,2,2,585000.0,NA,4.875,NA,2,1547.41,NA,0.0,,,360,NA,NA,2,2,2,2,685000,1,1,3,5,1,NA,93,NA,9,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,2,1,2,2,35-44,35-44,No,No,3,3,6,,,,,10,,,,9218,49.86,125500,113.81,1782,2139,9
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08035,08035014506,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,6,3,2,1,1,1,2,2,2,115000.0,NA,5.5,NA,2,3901.47,NA,1300.0,,23.87,360,NA,84,2,2,2,2,1135000,1,1,3,5,1,NA,154,NA,9,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,1,2,2,2,55-64,55-64,Yes,No,3,3,6,,,,,10,,,,6865,17.98,125500,146.65,1770,2022,13
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08059,08059010308,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,6,3,2,1,1,1,2,2,2,725000.0,NA,5.5,NA,2,4108.88,NA,1300.0,,19.56,360,NA,84,2,2,2,2,845000,1,1,3,5,1,NA,219,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,3,3,6,,,,,10,,,,6507,20.07,125500,118.64,1850,2027,37
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08035,08035014409,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,6,3,2,1,1,1,2,2,2,145000.0,NA,5.5,NA,2,3149.28,NA,450.0,,135.33,360,NA,84,2,2,2,2,755000,1,1,3,5,1,NA,49,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,3,3,6,,,,,10,,,,3918,17.59,125500,147.55,1007,1033,13
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08005,08005007111,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,6,3,2,1,1,1,2,2,2,275000.0,NA,5.375,NA,2,0.0,NA,0.0,7569.05,150.0,360,NA,NA,2,2,2,2,615000,1,1,3,5,1,NA,88,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,No,NA,3,3,6,,,,,10,,,,1790,73.91,125500,52.58,202,415,29
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08059,08059012041,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,6,3,2,1,1,1,2,2,2,485000.0,NA,5.5,NA,2,3926.06,NA,1300.0,,,360,NA,84,2,2,2,2,605000,1,1,3,5,1,NA,140,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,3,3,6,,,,,10,,,,5682,27.47,125500,99.8,1836,2013,39
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08005,08005085900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Female,6,1,2,1,1,1,2,2,2,445000.0,NA,5.625,NA,2,3341.81,NA,875.0,5512.39,,360,NA,NA,2,2,2,2,735000,1,1,3,5,1,NA,82,NA,9,9,2,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,3,3,6,,,,,10,,,,9218,49.86,125500,113.81,1782,2139,9
2023,7H6GLXDRUGQFU57RNE97,24540,CO,08123,08123002009,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,6,5,2,1,1,1,2,2,2,895000.0,NA,6.5,NA,2,4173.96,NA,1300.0,,61.01,360,NA,NA,2,2,2,2,1185000,1,1,3,5,1,NA,442,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,35-44,No,No,3,3,6,,,,,10,,,,5954,21.3,109300,176.85,1348,1431,6
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08005,08005085900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,6,1,2,1,1,1,2,2,2,575000.0,NA,5.625,NA,2,5502.67,NA,5502.67,7149.69,50.0,360,NA,NA,2,2,2,2,605000,1,1,3,5,1,NA,143,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,2,5,27,,,2,2,2,1,2,2,25-34,25-34,No,No,3,3,6,,,,,10,,,,9218,49.86,125500,113.81,1782,2139,9
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08001,08001008553,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,6,3,2,1,1,1,2,2,2,695000.0,NA,5.5,NA,2,4197.25,NA,1300.0,,101.3,360,NA,NA,2,2,2,2,815000,1,1,3,5,1,NA,183,NA,9,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,1,2,2,2,25-34,25-34,No,No,3,3,6,,,,,10,,,,5596,35.01,125500,132.82,1515,1580,18
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08059,08059010308,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,6,3,2,1,1,1,2,2,2,165000.0,NA,4.875,NA,2,0.0,NA,0.0,5675.88,,360,NA,NA,2,2,2,2,545000,1,1,3,5,1,NA,130,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,3,3,6,,,,,10,,,,6507,20.07,125500,118.64,1850,2027,37
2023,7H6GLXDRUGQFU57RNE97,24540,CO,08123,08123002208,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,6,1,2,1,1,1,2,2,2,405000.0,NA,4.5,NA,2,40.77,NA,0.0,8100.78,65.4,360,NA,NA,2,2,2,2,505000,1,1,3,5,1,NA,70,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,55-64,>74,No,Yes,3,3,6,,,,,10,,,,10618,19.62,109300,130.94,2445,2635,16
2023,7H6GLXDRUGQFU57RNE97,24540,CO,08123,08123002009,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,6,3,2,1,1,1,2,2,2,525000.0,NA,5.5,NA,2,0.0,NA,0.0,,,360,NA,84,2,2,2,2,625000,1,1,3,5,1,NA,122,NA,9,9,2,,,,,2,,,,,2,2,3,5,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,3,3,6,,,,,10,,,,5954,21.3,109300,176.85,1348,1431,6
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08001,08001008553,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,6,3,2,1,1,1,2,2,2,435000.0,NA,5.5,NA,2,6467.27,NA,0.0,,,360,NA,NA,2,2,2,2,475000,1,1,3,5,1,NA,77,NA,9,9,2,,,,,5,,,,,2,4,2,27,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,3,3,6,,,,,10,,,,5596,35.01,125500,132.82,1515,1580,18
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08035,08035014604,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,6,1,2,1,1,1,2,2,2,585000.0,NA,5.5,NA,2,0.0,NA,0.0,2919.83,,360,NA,84,2,2,2,2,615000,1,1,3,5,1,NA,160,NA,9,9,2,,,,,2,,,,,2,2,21,,,,,21,,,,,2,2,1,2,2,2,35-44,35-44,No,No,3,3,6,,,,,10,,,,4452,18.71,125500,125.93,1162,1296,16
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08005,08005007113,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,6,0,2,1,1,1,2,2,2,1045000.0,NA,7.5,NA,2,1828.0,NA,0.0,16132.33,200.0,360,NA,84,2,2,2,2,1305000,1,1,3,5,1,NA,582,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,3,3,6,,,,,10,,,,7952,33.01,125500,150.38,1495,1581,6
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08035,08035014505,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,6,2,2,3,1,1,2,2,2,435000.0,NA,4.5,NA,2,1386.66,NA,1386.66,8719.0,50.0,360,NA,NA,2,2,2,2,645000,1,1,3,5,1,NA,87,NA,9,9,2,,,,,2,,,,,2,2,2,5,23,,,2,5,23,,,2,2,1,2,2,2,35-44,35-44,No,No,3,3,6,,,,,10,,,,5630,20.12,125500,124.44,1653,1683,18
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08005,08005085900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,6,3,2,1,1,1,2,2,2,645000.0,NA,5.5,NA,2,20.0,NA,0.0,,,360,NA,84,2,2,2,2,855000,1,1,3,5,1,NA,167,NA,9,9,2,,,,,2,,,,,2,2,2,21,,,,2,21,,,,2,2,2,1,2,2,35-44,35-44,No,No,3,3,6,,,,,10,,,,9218,49.86,125500,113.81,1782,2139,9
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08005,08005085900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,Asian,Joint,6,3,2,1,1,1,2,2,2,235000.0,NA,5.25,NA,2,0.0,NA,0.0,2875.0,,360,NA,NA,2,2,2,2,795000,1,1,3,5,1,NA,149,NA,9,9,2,14,,,,2,14,,,,2,2,27,,,,,27,,,,,2,2,1,2,2,2,45-54,35-44,No,No,3,3,6,,,,,10,,,,9218,49.86,125500,113.81,1782,2139,9
2023,7H6GLXDRUGQFU57RNE97,39380,CO,08101,08101002920,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,6,3,2,1,1,1,2,2,2,135000.0,NA,5.25,NA,2,40.71,NA,13.78,1640.41,26.93,360,NA,NA,2,2,2,2,375000,1,1,3,5,1,NA,75,NA,9,9,2,,,,,1,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,55-64,No,No,3,3,6,,,,,10,,,,2966,51.05,82700,105.83,526,691,15
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08001,08001008354,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,6,3,2,1,1,1,2,2,2,585000.0,NA,7.125,NA,2,3950.79,NA,1300.0,12354.62,,360,NA,NA,2,2,2,2,815000,1,1,3,5,1,NA,224,NA,9,9,1,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,3,3,6,,,,,10,,,,4022,73.84,125500,95.47,1134,893,14
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08001,08001008552,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,6,3,2,1,1,1,2,2,2,415000.0,NA,5.375,NA,2,570.95,NA,0.0,2618.44,,360,NA,NA,2,2,2,2,525000,1,1,3,5,1,NA,124,NA,9,9,1,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,3,3,6,,,,,10,,,,5185,47.98,125500,79.71,820,1057,17
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08035,08035014604,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,6,1,2,1,1,1,2,2,1,165000.0,NA,5.875,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,575000,1,3,3,5,1,NA,229,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,No,NA,3,3,6,,,,,10,,,,4452,18.71,125500,125.93,1162,1296,16
2023,7H6GLXDRUGQFU57RNE97,39380,CO,08101,08101002920,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,6,1,2,1,1,1,2,2,1,235000.0,NA,5.5,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,295000,1,3,3,5,1,NA,82,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,45-54,No,No,3,3,6,,,,,10,,,,2966,51.05,82700,105.83,526,691,15
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08005,08005082900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,6,3,2,1,1,1,2,2,2,365000.0,NA,5.75,NA,2,550.0,NA,0.0,2281.88,,360,NA,NA,2,2,2,2,455000,1,1,3,5,1,NA,129,NA,9,9,2,,,,,5,,,,,2,4,2,25,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,3,3,6,,,,,10,,,,5094,56.32,125500,95.67,1380,1508,33
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08001,08001008354,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,6,1,2,1,1,1,2,2,2,205000.0,NA,5.25,NA,2,0.0,NA,0.0,2624.38,,360,NA,NA,2,2,2,2,535000,1,1,3,5,1,NA,52,NA,9,9,2,,,,,2,,,,,2,2,3,,,,,3,,,,,2,2,2,1,2,2,65-74,55-64,Yes,Yes,3,3,6,,,,,10,,,,4022,73.84,125500,95.47,1134,893,14
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08001,08001008354,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,6,3,2,1,1,1,2,2,2,105000.0,NA,5.5,NA,2,0.0,NA,0.0,2199.0,,360,NA,NA,2,2,2,2,585000,1,1,3,5,1,NA,63,NA,9,9,2,,,,,2,,,,,2,2,2,5,24,,,5,,,,,2,2,2,1,2,2,25-34,25-34,No,No,3,3,6,,,,,10,,,,4022,73.84,125500,95.47,1134,893,14
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08005,08005007111,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,6,3,2,1,1,1,2,2,2,505000.0,NA,5.75,NA,2,0.0,NA,0.0,3143.75,,360,NA,NA,2,2,2,2,535000,1,1,3,5,1,NA,112,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,3,3,6,,,,,10,,,,1790,73.91,125500,52.58,202,415,29
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08005,08005085900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,Joint,Joint,6,3,2,1,1,1,2,2,2,655000.0,NA,5.75,NA,2,0.0,NA,0.0,4077.83,6.45,360,NA,NA,2,2,2,2,725000,1,1,3,5,1,NA,225,NA,9,9,1,,,,,2,,,,,2,2,5,,,,,3,,,,,2,2,2,1,2,2,25-34,25-34,No,No,3,3,6,,,,,10,,,,9218,49.86,125500,113.81,1782,2139,9
